id,source_id,knowledge_object_id,processing_job_id,sync_event,detected_at,source_modified_at,metadata
352d0ee9-6e5a-43a6-a051-6e875e13be86,f4c083ee-e9b6-4441-b0ea-22486196b32d,4c7ce5f3-6f05-401b-a766-244e474fc758,d0875bd9-a726-4e3a-93d3-4378f8ef66d6,NEW,2026-08-21 04:13:53.609072+00,,"{""comparison_reason"":null}"
7a71416b-27c1-4376-83fa-fcd1c85d09d1,f4c083ee-e9b6-4441-b0ea-22486196b32d,4c7ce5f3-6f05-401b-a766-244e474fc758,95d7919e-f0c6-4e32-bc9f-8dfc7f9ab8bf,MODIFIED,2026-08-23 20:23:52.278475+00,2026-08-23 14:29:06+00,"{""comparison_reason"":""source modified timestamp changed""}"
7cd86cc8-129f-4380-9b3d-f9d28f02712d,39944f99-e5da-487d-800b-8d92d0b61b6f,faccb0f3-44cf-4a37-8b22-9c6883dba404,893d12f1-3725-42da-8fb6-64e320107103,MODIFIED,2026-08-23 14:23:49.751488+00,2018-09-29 16:00:20.845+00,"{""comparison_reason"":""source parent changed; source modified timestamp changed""}"
8561ab90-062b-4dc0-9ca4-bd9e66cffa47,f4c083ee-e9b6-4441-b0ea-22486196b32d,4c7ce5f3-6f05-401b-a766-244e474fc758,893d12f1-3725-42da-8fb6-64e320107103,MODIFIED,2026-08-23 14:23:49.566016+00,2026-08-23 13:56:52+00,"{""comparison_reason"":""source parent changed; source modified timestamp changed""}"
c8195b83-c0c8-4b8f-a892-b86cecfb1b5f,39944f99-e5da-487d-800b-8d92d0b61b6f,faccb0f3-44cf-4a37-8b22-9c6883dba404,d0875bd9-a726-4e3a-93d3-4378f8ef66d6,NEW,2026-08-21 04:13:53.815558+00,,"{""comparison_reason"":null}"
